screen_name,id
RepChipRoy,1082790600292925440
RepSylviaGarcia,1080587263132733442
RepColinAllred,1078355119920562176
RepBenMcAdams,196362083
RepElaineLuria,1080292515939565568
RepRiggleman,1080504024695222273
RepBenCline,1072158357237174272
RepSpanberger,1078771401497161728
RepWexton,1017819745880543238
RepKimSchrier,1080462532815532032
RepBryanSteil,1075205691621720064
RepCarolMiller,1081318716573470720
SenRickScott,131546062
SenatorBraun,1080870981877534720
SenHawleyPress,1080960924687704064
SenatorRomney,1078693601356509184
SenMcSallyAZ,2964949642
RepGolden,1080891667308298240
RepFredKeller,1136060761422405633
SenatorLoeffler,1200451909406121984
chrislhayes,4207961
JoeBiden,939091
donlemon,16051471
maddow,16129920
algore,17220934
TheDemocrats,14377605
dccc,14676022
BillClinton,1330457336
SenateDems,73238146
andersoncooper,15224867
HouseDemocrats,43963249
GStephanopoulos,17074440
POTUS,822215679726100480
senatemajldr,1249982359
VP,818910970567344128
GeorgeHWBush,475988505
Mike_Pence,22203756
HouseGOP,15207668
SenateGOP,14344823
GOP,11134252
megynkelly,110445334
GovMikeHuckabee,15416505
seanhannity,41634520
TuckerCarlson,22703645
newtgingrich,20713061
IngrahamAngle,50769180
SarahPalinUSA,65493023
AnnCoulter,196168350
foxandfriends,15513604
glennbeck,17454769
realDonaldTrump,25073877
BarackObama,813286
iamjohnoliver,316389142
benshapiro,17995040
GretaThunberg,1006419421244678144
NateSilver538,16017475
